"ID","Specializzazione","Tipologia di ospedale","Età","Anni di esperienza in chirurgia spinale","Ospedale di attività","Regione","Bacino di utenza afferente all'Ospedale","Numero di interventi cervicali annui","Principale patologia trattata","Riduzione del dolore post operatorio","Mobilizzazione più precoce del paziente","Aumento del tasso di artrodesi","Il paziente ""se lo aspetta""","Tutela medico legale","Riduzione del tasso di cifotizzazione post chirurgica","Letteratura","Esperienza personale","Insegnamento da altri colleghi","Abitudini locali","Tutela medico legale11","Età avanzata del paziente","Pregressi interventi cervicali in anamnesi","Scarsa qualità dell'osso","Età avanzata del paziente2","Pregressi interventi cervicali in anamnesi2","Scarsa qualità dell'osso2","Intervento","Collare"
39,"Neurochirurgia","Altro",62,25,"Pubblico","Sud e isole","500.000-1.000.000",3.2188758248682,"Traumatica",NA,"si",NA,NA,NA,NA,NA,"si",NA,NA,NA,"si",NA,"si","si",NA,"si"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
40,"Neurochirurgia","Altro",59,34,"Pubblico","Sud e isole","100.000-500.000",3.63758615972639,"Elettiva","si","si","si","no","no","si","si","si","si","no","no","si","si","si","si","si","si"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
41,"Neurochirurgia","Altro",72,30,"Convenzionato","Nord","100.000-500.000",3.91202300542815,"Elettiva","si",NA,"si",NA,NA,NA,"si","si",NA,NA,NA,"si",NA,"si",NA,NA,NA," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
42,"Neurochirurgia","Altro",64,30,"Pubblico","Sud e isole","500.000-1.000.000",4.60517018598809,"Elettiva","no","si","si","no","no","si","no","si","si","no","no","no","si","si","no","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
43,"Neurochirurgia","Policlinico",55,20,"Pubblico","Sud e isole","100.000-500.000",4.14313472639153,"Elettiva","si","si","si","no","si","no","si","si","si","si","si","no","no","si","si","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
44,"Neurochirurgia","Universitario",53,21,"Pubblico","Nord","500.000-1.000.000",3.91202300542815,"Traumatica","si","no","no","si","no","no","no","si","si","si","no","no","no","si","si","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","morbido"
45,"Neurochirurgia","Policlinico",45,15,"Pubblico","Nord","100.000-500.000",4.49980967033027,"Elettiva","no","si","si","si","no","no","no","si","si","si","no","si","si","si","no","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
46,"Neurochirurgia","Policlinico",56,25,"Pubblico","Nord",">1.000.000",4.60517018598809,"Elettiva","no","no","no","no","no","no","si","si","si","si","si","si","si","si","no","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
47,"Ortopedia","Universitario",44,14,"Pubblico","Nord","100.000-500.000",2.99573227355399,"Elettiva","no","si","si","no","no","si","no","si","si","si","no","si","no","si","no","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
48,"Neurochirurgia","Altro",37,5,"Pubblico","Sud e isole","<100.000",2.99573227355399,"Elettiva","si","no","si","si","si","si","no","si","si","no","si","si","no","si","no","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
49,"Neurochirurgia","Universitario",63,30,"Pubblico","Centro","100.000-500.000",4.0943445622221,"Elettiva",NA,NA,"si",NA,NA,NA,NA,"si",NA,NA,NA,NA,NA,"si","si",NA,NA," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
50,"Ortopedia","Altro",56,25,"Convenzionato","Nord","100.000-500.000",3.55534806148941,"Elettiva",NA,NA,NA,NA,NA,NA,"si","si",NA,NA,NA,"no","no","no","si","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","nessun collare"
51,"Ortopedia","Universitario",44,14,"Pubblico","Nord","100.000-500.000",2.99573227355399,"Elettiva","no","si","si","no","no","si","no","si","si","si","no","si","no","si","no","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
52,"Neurochirurgia","Policlinico",75,35,"Convenzionato","Centro",">1.000.000",3.40119738166216,"Elettiva","si",NA,NA,NA,NA,NA,NA,NA,NA,"si",NA,"no","no","no","no","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
53,"Neurochirurgia","Altro",80,30,"Convenzionato","Nord","100.000-500.000",4.14313472639153,"Elettiva",NA,"si",NA,NA,"si",NA,NA,"si",NA,NA,NA,NA,"si",NA,"si",NA,NA," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
54,"Neurochirurgia","Universitario",37,7,"Pubblico","Centro","100.000-500.000",4.49980967033027,"Traumatica","si","si","si","no","no","no","si","si","si","si","si","si","si","si","no","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
55,"Neurochirurgia","Policlinico",48,18,"Pubblico","Nord","500.000-1.000.000",3.91202300542815,"Elettiva","si","no","no","no","no",NA,"si","si","si","no","no","no","no","si","no","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","nessun collare"
56,"Neurochirurgia","Universitario",47,15,"Pubblico","Nord",">1.000.000",5.01063529409626,"Elettiva","si","si","si","no","no","si","si","si","si","no","no","si","si","si","no","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
57,"Neurochirurgia","Altro",68,35,"Convenzionato","Nord","500.000-1.000.000",3.91202300542815,"Elettiva","si","si","si","no","si","no","si","si","si","si","no","no","si","si","si","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","morbido"
58,"Neurochirurgia","Altro",42,12,"Pubblico","Nord","500.000-1.000.000",4.38202663467388,"Elettiva","si",NA,NA,NA,NA,NA,"no","si","si","si","si","no","no","si","no","si","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","morbido"
59,"Neurochirurgia","Altro",45,10,"Pubblico","Nord","500.000-1.000.000",2.99573227355399,"Elettiva","no","no","si","no","si","si","si","si","no","no","si","no","no","no","si","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","morbido"
60,"Neurochirurgia","Universitario",58,28,"Pubblico","Nord","500.000-1.000.000",3.91202300542815,"Elettiva","si",NA,NA,NA,NA,"si","si","si","si",NA,NA,NA,NA,"si","si",NA,NA," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","rigido"
61,"Neurochirurgia","Universitario",61,30,"Pubblico","Centro",">1.000.000",3.40119738166216,"Elettiva","si","si","no","no","si","no","si","si","si","si","si","no","no","si","si","no","no"," discectomia e artrodesi anteriore DI 2 LIVELLI, SENZA placca","morbido"
1,"Neurochirurgia","Altro",59,34,"Pubblico","Sud e isole","100.000-500.000",3.80666248977032,"Traumatica",NA,NA,NA,NA,NA,NA,"si","si",NA,NA,NA,"si","si","si",NA,NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
2,"Neurochirurgia","Universitario",36,4,"Pubblico","Sud e isole","100.000-500.000",3.91202300542815,"Elettiva","si",NA,NA,NA,NA,NA,NA,NA,"si",NA,NA,"no","no","si","si","no","si"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
3,"Neurochirurgia","Universitario",48,2,"Pubblico","Centro","100.000-500.000",2.484906649788,"Traumatica",NA,"si",NA,NA,"no",NA,NA,NA,"no","no",NA,NA,NA,"si",NA,NA,"si"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
4,"Neurochirurgia","Policlinico",42,16,"Pubblico","Nord",">1.000.000",3.68887945411394,"Elettiva","si","si","si","no","si","si","si","si","si","si","si","no","no","si","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
5,"Neurochirurgia","Universitario",48,10,"Pubblico","Nord","500.000-1.000.000",4.38202663467388,"Elettiva","si","no","no",NA,"no","no","no","si","si","si","no","no","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
7,"Neurochirurgia","Policlinico",65,30,"Pubblico","Centro","500.000-1.000.000",4.24849524204936,"Elettiva","si","si","si","no","no","no","no","si","si","si","no","no","si","si","si","si","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
8,"Neurochirurgia","Altro",68,40,"Convenzionato","Nord","500.000-1.000.000",3.68887945411394,"Elettiva","si","si","si","si","si","si","no","si","si","si","si","no","si","si","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
9,"Neurochirurgia","Altro",74,40,"Convenzionato","Sud e isole","100.000-500.000",2.99573227355399,"Elettiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
10,"Neurochirurgia","Altro",43,12,"Pubblico","Nord","500.000-1.000.000",3.40119738166216,"Elettiva","no","si","si","si","no","si","no","si","si","no","no","no","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
11,"Neurochirurgia","Universitario",63,31,"Pubblico","Centro","500.000-1.000.000",5.01063529409626,"Elettiva",NA,NA,NA,NA,NA,NA,"si","si",NA,NA,NA,"no",NA,"si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
12,"Neurochirurgia","Policlinico",47,12,"Pubblico","Nord","500.000-1.000.000",5.52146091786225,"Traumatica","si","si","no","no","si","si","no","si","si","si","si","no","no","si","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
13,"Neurochirurgia","Altro",53,21,"Convenzionato","Nord","100.000-500.000",5.01063529409626,"Elettiva","si","si","si",NA,NA,NA,"si","si","si",NA,NA,"si","no","si","no",NA,"si"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
14,"Neurochirurgia","Policlinico",39,10,"Pubblico","Sud e isole","100.000-500.000",2.30258509299405,"Elettiva","si","si","si","no","si","no","no","si","si","no","si","si","si","no","si","si","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
15,"Neurochirurgia","Policlinico",65,30,"Pubblico","Sud e isole","100.000-500.000",3.40119738166216,"Elettiva","si","no","no","no","si","no","si","si","no","no","si","si","no","si","no","si","si"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
16,"Neurochirurgia","Altro",62,25,"Convenzionato","Nord","100.000-500.000",4.78749174278205,"Elettiva","no",NA,NA,NA,NA,NA,"no","si","no","si","si","si","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
17,"Neurochirurgia","Policlinico",41,15,"Pubblico","Nord","100.000-500.000",4.24849524204936,"Elettiva","si","si","si","no","no",NA,"si","si","si","no","si","si","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
18,"Neurochirurgia","Policlinico",38,7,"Pubblico","Nord",">1.000.000",4.29045944114839,"Elettiva","no","no","no","no","no","no","no","si","si","si","si","no","no","no","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
19,"Neurochirurgia","Altro",62,30,"Convenzionato","Sud e isole","100.000-500.000",5.01063529409626,"Elettiva",NA,NA,NA,NA,NA,NA,"si","si","no","no","si","si","no","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
20,"Neurochirurgia","Universitario",66,25,"Convenzionato","Nord",">1.000.000",4.38202663467388,"Elettiva","no","si","si","no","no","no","no","si","si","no","no","no","si","si","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
21,"Neurochirurgia","Altro",65,30,"Pubblico","Sud e isole","100.000-500.000",4.38202663467388,"Elettiva",NA,NA,NA,NA,NA,NA,"si","si",NA,NA,NA,NA,NA,NA,NA,NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
22,"Neurochirurgia","Altro",64,30,"Pubblico","Sud e isole","100.000-500.000",5.01063529409626,"Elettiva",NA,NA,"si",NA,NA,NA,NA,NA,"si",NA,NA,NA,NA,"si","si","si",NA," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
23,"Neurochirurgia","Policlinico",44,10,"Pubblico","Nord",">1.000.000",3.91202300542815,"Traumatica","no","no","no","no","no","no","si","si","si","no","no","si","no","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
24,"Neurochirurgia","Policlinico",44,15,"Convenzionato","Nord","100.000-500.000",3.68887945411394,"Elettiva","no","si","si","no","si","si","no","si","si","si","si","no","no","si",NA,NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
25,"Neurochirurgia","Altro",67,35,"Pubblico","Nord","500.000-1.000.000",4.17438726989564,"Traumatica",NA,NA,NA,NA,NA,NA,"no","si","no","si","no","si","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
26,"Neurochirurgia","Altro",68,45,"Convenzionato","Sud e isole","<100.000",3.91202300542815,"Elettiva","si","si","no","si","si","no","no","si","si","si","no","si","si","si","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
27,"Neurochirurgia","Altro",52,20,"Pubblico","Nord","500.000-1.000.000",3.91202300542815,"Elettiva",NA,NA,NA,NA,NA,NA,"si","si",NA,NA,NA,NA,"si","si","no",NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
28,"Neurochirurgia","Altro",45,5,"Pubblico","Sud e isole",">1.000.000",4.29045944114839,"Traumatica","si","si","si","si","no","no","no","si","si","si","no","si","no","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
29,"Neurochirurgia","Policlinico",62,30,"Pubblico","Nord","500.000-1.000.000",4.60517018598809,"Elettiva","no","no","no","no","no","no","no","si","si","si","no","no","no","no","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
30,"Neurochirurgia","Universitario",53,21,"Pubblico","Centro",">1.000.000",4.60517018598809,"Elettiva",NA,NA,NA,NA,NA,NA,"si","si",NA,NA,"si",NA,NA,"si",NA,NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
31,"Neurochirurgia","Altro",45,13,"Pubblico","Sud e isole",">1.000.000",5.01063529409626,"Elettiva",NA,NA,NA,NA,NA,NA,"si","no","no","no","no","si","si","si","si","si","si"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
32,"Neurochirurgia","Universitario",35,9,"Pubblico","Centro",">1.000.000",3.91202300542815,"Elettiva","no","no","no","no","no","no","no","no","no","no","si","no","no","no","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
33,"Neurochirurgia","Universitario",43,12,"Pubblico","Sud e isole","500.000-1.000.000",2.70805020110221,"Elettiva","si","si","si","no","no","no","no","si","si","si","no","no","no","si","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
34,"Neurochirurgia","Altro",71,35,"Convenzionato","Nord","<100.000",2.99573227355399,"Elettiva","si","si",NA,NA,"si",NA,"no","si","si",NA,"si","no","si","si","si",NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
35,"Neurochirurgia","Policlinico",60,25,"Pubblico","Centro","500.000-1.000.000",4.24849524204936,"Elettiva","no","si","si","no","no","no","no","si","si","no","no","no","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
36,"Neurochirurgia","Altro",68,25,"Pubblico","Centro",">1.000.000",2.99573227355399,"Elettiva","si","si","si",NA,NA,NA,"no","si",NA,NA,NA,"si","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
37,"Neurochirurgia","Policlinico",59,30,"Pubblico","Nord","100.000-500.000",3.91202300542815,"Elettiva","no","si","si","no","si","no","no","si","si","si","no","no","no","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
38,"Neurochirurgia","Altro",73,46,"Convenzionato","Sud e isole","<100.000",2.30258509299405,"Elettiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
39,"Neurochirurgia","Altro",62,25,"Pubblico","Sud e isole","500.000-1.000.000",3.2188758248682,"Traumatica",NA,"si",NA,NA,NA,NA,NA,"si",NA,NA,NA,"si",NA,"si","si",NA,"si"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
40,"Neurochirurgia","Altro",59,34,"Pubblico","Sud e isole","100.000-500.000",3.63758615972639,"Elettiva","no","no","no","no","no","no","si","si","si","no","no","si","si","si","si","si","si"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
41,"Neurochirurgia","Altro",72,30,"Convenzionato","Nord","100.000-500.000",3.91202300542815,"Elettiva","si",NA,NA,NA,NA,NA,"si","si",NA,NA,NA,"si",NA,"si",NA,NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
42,"Neurochirurgia","Altro",64,30,"Pubblico","Sud e isole","500.000-1.000.000",4.60517018598809,"Elettiva","no","si","si","no","no","no","no","si","si","no","no","no","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
43,"Neurochirurgia","Policlinico",55,20,"Pubblico","Sud e isole","100.000-500.000",4.14313472639153,"Elettiva","si","si","si","si","si","no","si","si","si","si","si","no","no","si","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
44,"Neurochirurgia","Universitario",53,21,"Pubblico","Nord","500.000-1.000.000",3.91202300542815,"Traumatica","si","si","no","si","no","no","no","si","si","si","no","no","no","si","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
45,"Neurochirurgia","Policlinico",45,15,"Pubblico","Nord","100.000-500.000",4.49980967033027,"Elettiva","no","si","no","si","no","no","no","si","si","si","no","si","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
46,"Neurochirurgia","Policlinico",56,25,"Pubblico","Nord",">1.000.000",4.60517018598809,"Elettiva","si","si","si","si","si","si","si","si","si","si","si","si","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
47,"Ortopedia","Universitario",44,14,"Pubblico","Nord","100.000-500.000",2.99573227355399,"Elettiva","no","no","si","no","no","no","no","si","si","si","no","si","no","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
48,"Neurochirurgia","Altro",37,5,"Pubblico","Sud e isole","<100.000",2.99573227355399,"Elettiva","si","no","si","si","si","si","no","si","si","no","si","si","no","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
49,"Neurochirurgia","Universitario",63,30,"Pubblico","Centro","100.000-500.000",4.0943445622221,"Elettiva",NA,NA,NA,NA,NA,NA,NA,"si",NA,NA,NA,NA,NA,"si","si",NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
50,"Ortopedia","Altro",56,25,"Convenzionato","Nord","100.000-500.000",3.55534806148941,"Elettiva",NA,NA,NA,NA,NA,NA,"si","si",NA,NA,NA,"no","no","no","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
51,"Ortopedia","Universitario",44,14,"Pubblico","Nord","100.000-500.000",2.99573227355399,"Elettiva","no","no","si","no","no","no","no","si","si","si","no","si","no","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
52,"Neurochirurgia","Policlinico",75,35,"Convenzionato","Centro",">1.000.000",3.40119738166216,"Elettiva","si",NA,NA,"si",NA,NA,NA,NA,NA,"si",NA,"no","no","no","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
53,"Neurochirurgia","Altro",80,30,"Convenzionato","Nord","100.000-500.000",4.14313472639153,"Elettiva",NA,"si",NA,NA,NA,NA,NA,"si",NA,NA,NA,NA,"si",NA,"si",NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
54,"Neurochirurgia","Universitario",37,7,"Pubblico","Centro","100.000-500.000",4.49980967033027,"Traumatica","si","si","si","si","no","no","si","si","si","si","si","si","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
55,"Neurochirurgia","Policlinico",48,18,"Pubblico","Nord","500.000-1.000.000",3.91202300542815,"Elettiva","si","no","no","no","no","no","si","si","si","no","no","no","no","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","nessun collare"
56,"Neurochirurgia","Universitario",47,15,"Pubblico","Nord",">1.000.000",5.01063529409626,"Elettiva","si","si","si","no","no","no","si","si","si","no","no","si","si","si","no","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
57,"Neurochirurgia","Altro",68,35,"Convenzionato","Nord","500.000-1.000.000",3.91202300542815,"Elettiva","no","si","si","no","si","si","si","si","si","si","no","no","si","si","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
58,"Neurochirurgia","Altro",42,12,"Pubblico","Nord","500.000-1.000.000",4.38202663467388,"Elettiva","si",NA,NA,NA,NA,NA,"no","si","si","si","si","no","no","si","no","si","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
59,"Neurochirurgia","Altro",45,10,"Pubblico","Nord","500.000-1.000.000",2.99573227355399,"Elettiva","no","no","si","no","si","si","si","si","no","no","si","no","no","no","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
60,"Neurochirurgia","Universitario",58,28,"Pubblico","Nord","500.000-1.000.000",3.91202300542815,"Elettiva","si",NA,NA,NA,NA,"si","si","si","si",NA,NA,NA,NA,"si","si",NA,NA," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","rigido"
61,"Neurochirurgia","Universitario",61,30,"Pubblico","Centro",">1.000.000",3.40119738166216,"Elettiva","si","si","no","no","si","no","si","si","si","si","si","no","no","si","si","no","no"," discectomia e artrodesi anteriore DI 1 LIVELLO, CON placca","morbido"
1,"Neurochirurgia","Altro",59,34,"Pubblico","Sud e isole","100.000-500.000",3.80666248977032,"Traumatica","si",NA,"si",NA,NA,NA,"si","si",NA,NA,NA,"si","si","si",NA,NA,NA," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","rigido"
2,"Neurochirurgia","Universitario",36,4,"Pubblico","Sud e isole","100.000-500.000",3.91202300542815,"Elettiva","si",NA,NA,NA,NA,NA,NA,NA,"si",NA,NA,"no","no","si","si","no","si"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","morbido"
3,"Neurochirurgia","Universitario",48,2,"Pubblico","Centro","100.000-500.000",2.484906649788,"Traumatica",NA,"no",NA,NA,NA,NA,NA,NA,"no","no",NA,NA,NA,"si",NA,NA,"si"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","nessun collare"
4,"Neurochirurgia","Policlinico",42,16,"Pubblico","Nord",">1.000.000",3.68887945411394,"Elettiva","si","si","si","no","si",NA,"si","si","si","si","si","no","no","si","si","no","no"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","rigido"
5,"Neurochirurgia","Universitario",48,10,"Pubblico","Nord","500.000-1.000.000",4.38202663467388,"Elettiva","si","no","no","no","no","no","no","si","si","si","no","no","si","si","no","no","no"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","morbido"
6,"Neurochirurgia","Altro",41,3,"Convenzionato","Sud e isole","100.000-500.000",4.14313472639153,"Elettiva","no","si","si","no","no","si","no","si","si","si","no","no","si","si","no","no",NA," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","morbido"
7,"Neurochirurgia","Policlinico",65,30,"Pubblico","Centro","500.000-1.000.000",4.24849524204936,"Elettiva","si","si","si","no","no","no","no","si","si","si","no","no","si","si","si","si","no"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","rigido"
8,"Neurochirurgia","Altro",68,40,"Convenzionato","Nord","500.000-1.000.000",3.68887945411394,"Elettiva","si","si","si","si","si","si","no","si","si","si","si","no","si","si","si","no","no"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","rigido"
9,"Neurochirurgia","Altro",74,40,"Convenzionato","Sud e isole","100.000-500.000",2.99573227355399,"Elettiva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","nessun collare"
10,"Neurochirurgia","Altro",43,12,"Pubblico","Nord","500.000-1.000.000",3.40119738166216,"Elettiva","no","si","si","si","no","si","no","si","si","no","no","no","si","si","no","no","no"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","rigido"
11,"Neurochirurgia","Universitario",63,31,"Pubblico","Centro","500.000-1.000.000",5.01063529409626,"Elettiva",NA,NA,NA,NA,NA,NA,"si","si",NA,NA,NA,"no",NA,"si","no","no","no"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","nessun collare"
12,"Neurochirurgia","Policlinico",47,12,"Pubblico","Nord","500.000-1.000.000",5.52146091786225,"Traumatica","si","si","no","no","si","si","no","si","si","si","si","no","no","si","si","no","no"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","morbido"
13,"Neurochirurgia","Altro",53,21,"Convenzionato","Nord","100.000-500.000",5.01063529409626,"Elettiva","si","si","si",NA,NA,NA,"si","si","si",NA,NA,"si","no","si","no",NA,"si"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","rigido"
14,"Neurochirurgia","Policlinico",39,10,"Pubblico","Sud e isole","100.000-500.000",2.30258509299405,"Elettiva","si","si","si","no","si","no","no","si","si","no","si","si","si","no","si","si","no"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","rigido"
15,"Neurochirurgia","Policlinico",65,30,"Pubblico","Sud e isole","100.000-500.000",3.40119738166216,"Elettiva","si","si","no","no","no","no","si","si","no","no","si","si","no","si","no","si","si"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","rigido"
16,"Neurochirurgia","Altro",62,25,"Convenzionato","Nord","100.000-500.000",4.78749174278205,"Elettiva","no",NA,NA,NA,NA,NA,"no","si","no","si","si","si","si","si","no","no","no"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","nessun collare"
17,"Neurochirurgia","Policlinico",41,15,"Pubblico","Nord","100.000-500.000",4.24849524204936,"Elettiva","si","si","si","no","si","si","si","si","si","no","si","si","si","si","no","no","no"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","rigido"
18,"Neurochirurgia","Policlinico",38,7,"Pubblico","Nord",">1.000.000",4.29045944114839,"Elettiva","no","no","no","no","no","no","no","si","si","si","si","no","no","no","no","no","no"," discectomia e artrodesi anteriore DI PIU' DI 1 LIVELLO, CON placca","nessun collare"
